wl,n,k
0.2,1.912709408,0
0.2065,1.899887798,0
0.2133,1.88822356,0
0.2203,1.877744676,0
0.2275,1.868298575,0
0.2349,1.859757418,0
0.2426,1.851917411,0
0.2505,1.844803989,0
0.2587,1.838258595,0
0.2672,1.832234504,0
0.2759,1.826747954,0
0.285,1.821633589,0
0.2943,1.816968764,0
0.3039,1.812662212,0
0.3139,1.808646575,0
0.3241,1.804974731,0
0.3347,1.801548808,0
0.3457,1.798355238,0
0.357,1.795405049,0
0.3687,1.792654905,0
0.3807,1.79011233,0
0.3932,1.78772283,0
0.406,1.785513198,0
0.4193,1.783437608,0
0.433,1.781503289,0
0.4472,1.779687697,0
0.4618,1.777995467,0
0.477,1.776396981,0
0.4926,1.774906967,0
0.5087,1.773508211,0
0.5253,1.772194642,0
0.5425,1.770953451,0
0.5602,1.769787003,0
0.5786,1.768678093,0
0.5975,1.767634759,0
0.617,1.766646719,0
0.6372,1.765705542,0
0.6581,1.764808378,0
0.6796,1.763956067,0
0.7018,1.763141203,0
0.7248,1.762357531,0
0.7485,1.761605813,0
0.773,1.760880176,0
0.7983,1.760178198,0
0.8244,1.759497415,0
0.8513,1.758835349,0
0.8792,1.758184984,0
0.9079,1.757548842,0
0.9377,1.756918219,0
0.9683,1.756297377,0
1,1.755678078,0
1.033,1.755054734,0
1.066,1.754449222,0
1.101,1.753822701,0
1.137,1.75319156,0
1.175,1.752536467,0
1.213,1.751889642,0
1.253,1.751214715,0
1.294,1.750526459,0
1.336,1.749822563,0
1.38,1.749083933,0
1.425,1.748324935,0
1.471,1.747543214,0
1.52,1.746701912,0
1.569,1.745849839,0
1.621,1.744931959,0
1.674,1.743980236,0
1.728,1.742992131,0
1.785,1.741927383,0
1.843,1.740819537,0
1.904,1.739626344,0
1.966,1.738382732,0
2.03,1.737065029,0
2.097,1.73564724,0
2.165,1.734166921,0
2.236,1.732575521,0
2.309,1.730889248,0
2.385,1.729078438,0
2.463,1.727160035,0
2.543,1.725128003,0
2.627,1.722922677,0
2.712,1.720614843,0
2.801,1.718114579,0
2.893,1.715438148,0
2.987,1.712605175,0
3.085,1.709543723,0
3.186,1.706270971,0
3.29,1.702773738,0
3.398,1.699002442,0
3.509,1.694974994,0
3.624,1.690636875,0
3.742,1.686006324,0
3.865,1.680981476,0
3.991,1.675618932,0
4.122,1.669806335,0
4.257,1.663555793,0
4.396,1.656835236,0
4.54,1.649558151,0
4.688,1.641733444,0
4.842,1.633205856,0
5,1.62403175,0
