wl,n,k
0.3,1.552770264,2.86E-06
0.322,1.545869929,6.09E-07
0.344,1.540446687,1.57E-07
0.366,1.536090528,3.28E-08
0.388,1.532527732,1.51E-08
0.41,1.529568767,9.17E-09
0.432,1.527078429,1.07E-08
0.454,1.524957846,1.05E-08
0.476,1.523133174,1.00E-08
0.498,1.521548253,9.62E-09
0.52,1.520159688,8.45E-09
0.542,1.518933478,7.20E-09
0.564,1.517842648,8.18E-09
0.586,1.516865557,9.65E-09
0.608,1.515984669,1.11E-08
0.63,1.515185645,1.21E-08
0.652,1.51445666,1.25E-08
0.674,1.51378789,1.13E-08
0.696,1.513171112,9.30E-09
0.718,1.512599402,8.99E-09
0.74,1.512066895,9.06E-09
0.762,1.51156859,9.13E-09
0.784,1.511100206,9.20E-09
0.806,1.510658057,9.27E-09
0.828,1.510238956,9.35E-09
0.85,1.509840135,9.42E-09
0.872,1.50945918,9.49E-09
0.894,1.509093978,9.56E-09
0.916,1.508742673,9.63E-09
0.938,1.508403627,9.70E-09
0.96,1.508075392,9.78E-09
0.982,1.507756683,9.85E-09
1.004,1.507446357,9.92E-09
1.026,1.507143392,9.99E-09
1.048,1.506846874,1.01E-08
1.07,1.506555982,1.20E-08
1.092,1.506269979,1.61E-08
1.114,1.505988198,2.02E-08
1.136,1.505710037,2.44E-08
1.158,1.50543495,2.85E-08
1.18,1.505162442,3.26E-08
1.202,1.50489206,3.68E-08
1.224,1.504623394,4.09E-08
1.246,1.504356065,4.50E-08
1.268,1.50408973,4.92E-08
1.29,1.503824072,5.33E-08
1.312,1.503558798,5.74E-08
1.334,1.503293642,6.16E-08
1.356,1.503028354,6.57E-08
1.378,1.502762706,6.98E-08
1.4,1.502496485,7.40E-08
1.422,1.502229493,7.81E-08
1.444,1.501961547,8.22E-08
1.466,1.501692477,8.64E-08
1.488,1.501422121,9.05E-08
1.51,1.501150331,9.46E-08
1.532,1.500876967,1.03E-07
1.554,1.500601898,1.52E-07
1.576,1.500324999,2.02E-07
1.598,1.500046155,2.52E-07
1.62,1.499765255,3.01E-07
1.642,1.499482196,3.51E-07
1.664,1.499196879,4.00E-07
1.686,1.498909211,4.50E-07
1.708,1.498619104,5.00E-07
1.73,1.498326472,5.49E-07
1.752,1.498031236,5.99E-07
1.774,1.497733318,6.48E-07
1.796,1.497432645,6.98E-07
1.818,1.497129146,7.47E-07
1.84,1.496822753,7.97E-07
1.862,1.4965134,8.47E-07
1.884,1.496201026,8.96E-07
1.906,1.495885568,9.46E-07
1.928,1.495566968,9.95E-07
1.95,1.49524517,1.04E-06
1.972,1.494920117,1.11E-06
1.994,1.494591757,1.31E-06
2.016,1.494260036,1.50E-06
2.038,1.493924904,1.70E-06
2.06,1.49358631,1.90E-06
2.082,1.493244207,2.10E-06
2.104,1.492898546,2.30E-06
2.126,1.49254928,2.50E-06
2.148,1.492196363,2.69E-06
2.17,1.49183975,2.89E-06
2.192,1.491479396,3.09E-06
2.214,1.491115257,3.29E-06
2.236,1.490747289,3.49E-06
2.258,1.49037545,3.69E-06
2.28,1.489999697,3.88E-06
2.302,1.489619988,4.08E-06
2.324,1.48923628,4.28E-06
2.346,1.488848531,4.75E-06
2.368,1.488456702,5.23E-06
2.39,1.488060749,5.72E-06
2.412,1.487660633,6.20E-06
2.434,1.487256312,6.68E-06
2.456,1.486847745,7.16E-06
2.478,1.486434891,7.65E-06
2.5,1.48601771,8.13E-06
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
