wl,n,k
0.24,1.530544495,NaN
0.2531,1.522334702,3.968e-05
0.2662,1.515591933,2.388e-05
0.2793,1.509973356,1.1325e-05
0.2924,1.50523318,4.668e-06
0.3055,1.50119085,1.88e-06
0.3186,1.497710935,7.13100000000001e-07
0.3317,1.494690008,2.71e-07
0.3448,1.492047817,1.094e-07
0.3579,1.489721222,5.3475e-08
0.371,1.487659926,4.235e-08
0.3841,1.48582341,4.2815e-08
0.3972,1.484178709,3.274e-08
0.4103,1.482698754,3.0218e-08
0.4234,1.481361134,3.1038e-08
0.4365,1.480147156,3.202e-08
0.4496,1.479041113,3.278e-08
0.4627,1.47802973,3.2765e-08
0.4758,1.477101713,3.1588e-08
0.4889,1.476247405,2.9131e-08
0.502,1.475458505,2.556e-08
0.5151,1.474727841,2.1368e-08
0.5282,1.474049193,1.7668e-08
0.5413,1.473417139,1.4866e-08
0.5544,1.472826937,1.2728e-08
0.5675,1.472274424,1.14e-08
0.5806,1.471755929,1.1336e-08
0.5937,1.471268209,1.2122e-08
0.6068,1.470808388,1.2976e-08
0.6199,1.470373905,1.3992e-08
0.633,1.469962476,1.529e-08
0.6461,1.469572059,1.7298e-08
0.6592,1.469200821,1.9932e-08
0.6723,1.468847115,2.3221e-08
0.6854,1.468509455,2.6866e-08
0.6985,1.4681865,3.075e-08
0.7116,1.467877035,3.4844e-08
0.7247,1.467579958,3.9298e-08
0.7378,1.467294267,4.3986e-08
0.7509,1.467019048,4.896e-08
0.764,1.466753469,5.428e-08
0.7771,1.466496769,5.9995e-08
0.7902,1.466248248,6.62e-08
0.8033,1.466007267,7.2651e-08
0.8164,1.465773238,7.7912e-08
0.8295,1.465545618,7.948e-08
0.8426,1.465323908,7.609e-08
0.8557,1.465107647,7.2132e-08
0.8688,1.464896408,7.0748e-08
0.8819,1.464689796,7.3146e-08
0.895,1.464487443,7.81e-08
0.9081,1.46428901,8.4188e-08
0.9212,1.464094179,9.0652e-08
0.9343,1.463902655,9.6463e-08
0.9474,1.463714164,1.01168e-07
0.9605,1.463528447,1.062e-07
0.9736,1.463345264,1.1108e-07
0.9867,1.46316439,1.1501e-07
0.9998,1.462985614,1.1894e-07
1.013,1.462807394,1.226e-07
1.026,1.462633573,1.246e-07
1.039,1.462461266,1.268e-07
1.052,1.462290311,1.284e-07
1.065,1.462120554,1.305e-07
1.078,1.461951853,1.326e-07
1.092,1.461771197,1.332e-07
1.105,1.461604257,1.34e-07
1.118,1.461437974,1.348e-07
1.131,1.46127223,1.35e-07
1.144,1.461106915,1.354e-07
1.157,1.460941923,1.353e-07
1.17,1.460777155,1.35e-07
1.183,1.460612513,1.34e-07
1.196,1.460447905,1.334e-07
1.209,1.460283244,1.321e-07
1.223,1.46010576,1.317e-07
1.236,1.459940722,1.304e-07
1.249,1.459775381,1.291e-07
1.262,1.459609662,1.252e-07
1.275,1.459443493,1.2e-07
1.288,1.459276804,1.156e-07
1.301,1.459109528,1.108e-07
1.314,1.4589416,1.098e-07
1.327,1.458772956,1.215e-07
1.34,1.458603535,1.41e-07
1.354,1.458420145,1.622e-07
1.367,1.458248921,3.31099999999998e-07
1.38,1.458076742,5.83e-07
1.393,1.457903552,5.72299999999999e-07
1.406,1.457729297,4.518e-07
1.419,1.457553924,3.46399999999999e-07
1.432,1.457377383,2.654e-07
1.445,1.457199621,2.105e-07
1.458,1.457020589,1.724e-07
1.471,1.456840238,1.448e-07
1.485,1.456644484,1.315e-07
1.498,1.45646124,1.282e-07
1.511,1.45627653,1.29e-07
1.524,1.456090307,1.29e-07
1.537,1.455902527,1.29e-07
1.55,1.455713142,1.29e-07
