wl,n,k
0.35,2.713257563,0
0.3619,2.664770287,0
0.3743,2.624176676,0
0.387,2.590295481,0
0.4002,2.561245609,0
0.4139,2.536146281,0
0.428,2.514455069,0
0.4426,2.495449451,0
0.4577,2.478711044,0
0.4733,2.46390092,0
0.4894,2.450741748,0
0.5061,2.438938736,0
0.5233,2.428384118,0
0.5412,2.418814191,0
0.5596,2.410215639,0
0.5787,2.402389269,0
0.5984,2.395292371,0
0.6188,2.388814319,0
0.6399,2.382894767,0
0.6618,2.377455966,0
0.6843,2.372498335,0
0.7076,2.36793301,0
0.7318,2.363709896,0
0.7567,2.359832563,0
0.7825,2.356240644,0
0.8092,2.352911784,0
0.8368,2.349824811,0
0.8653,2.346959789,0
0.8948,2.344289449,0
0.9253,2.34179886,0
0.9569,2.339466709,0
0.9895,2.337287736,0
1.023,2.335254651,0
1.058,2.333321989,0
1.094,2.331509323,0
1.131,2.329805246,0
1.17,2.328158685,0
1.21,2.326606659,0
1.251,2.325138931,0
1.294,2.323714176,0
1.338,2.322360071,0
1.384,2.321040105,0
1.431,2.319777421,0
1.48,2.318539482,0
1.53,2.317346127,0
1.582,2.31616804,0
1.636,2.315001554,0
1.692,2.31384271,0
1.75,2.312687325,0
1.809,2.31155004,0
1.871,2.310387915,0
1.935,2.309215961,0
2.001,2.308029542,0
2.069,2.30682398,0
2.139,2.305594563,0
2.212,2.304319106,0
2.288,2.302992816,0
2.366,2.301628035,0
2.446,2.30021961,0
2.53,2.29872664,0
2.616,2.297178709,0
2.705,2.295551888,0
2.797,2.293839598,0
2.893,2.292015717,0
2.991,2.290110953,0
3.093,2.288078735,0
3.199,2.285909421,0
3.308,2.283614053,0
3.421,2.281161564,0
3.537,2.278563092,0
3.658,2.27576147,0
3.783,2.272765475,0
3.911,2.269586231,0
4.045,2.266132711,0
4.183,2.262437276,0
4.325,2.258482338,0
4.473,2.254189818,0
4.625,2.24959353,0
4.783,2.244606588,0
4.946,2.239229738,0
5.115,2.233396163,0
5.289,2.227103296,0
5.469,2.220274064,0
5.656,2.212819592,0
5.849,2.204723082,0
6.048,2.195924527,0
6.254,2.186308806,0
6.467,2.175792057,0
6.688,2.164225232,0
6.916,2.151546935,0
7.152,2.137570671,0
7.395,2.122204648,0
7.648,2.105069481,0
7.908,2.08614621,0
8.178,2.064951801,0
8.457,2.041229462,0
8.745,2.014583221,0
9.043,1.984422103,0
9.352,1.949994404,0
9.67,1.910718346,0
10,1.865161415,0
