wl,n,k
0.302,1.552087058,1.25E-06
0.3222,1.545842258,2.51E-07
0.3425,1.540804787,6.60E-08
0.3627,1.536709127,2.10E-08
0.3829,1.533310079,1.40E-08
0.4032,1.530439143,1.00E-08
0.4234,1.52801041,1.00E-08
0.4436,1.525923588,1.10E-08
0.4638,1.524114068,1.10E-08
0.4841,1.522524582,1.20E-08
0.5043,1.521131517,1.20E-08
0.5245,1.519895499,1.30E-08
0.5448,1.51878647,1.30E-08
0.565,1.517795112,1.40E-08
0.5852,1.516899173,1.40E-08
0.6055,1.516081211,1.40E-08
0.6257,1.515337946,1.50E-08
0.6459,1.514655708,1.50E-08
0.6661,1.514026539,1.60E-08
0.6864,1.513440912,1.60E-08
0.7066,1.512898827,1.60E-08
0.7268,1.512392369,1.60E-08
0.7471,1.511915019,1.50E-08
0.7673,1.511467802,1.40E-08
0.7875,1.511045111,1.30E-08
0.8078,1.510642236,1.30E-08
0.828,1.510260707,1.30E-08
0.8482,1.509896356,1.30E-08
0.8684,1.509547301,1.40E-08
0.8887,1.509210249,1.40E-08
0.9089,1.508887038,1.40E-08
0.9291,1.508574662,1.50E-08
0.9494,1.508270472,1.50E-08
0.9696,1.507976411,1.50E-08
0.9898,1.507690018,1.60E-08
1.01,1.507410445,1.60E-08
1.03,1.507139611,1.60E-08
1.051,1.506860893,1.70E-08
1.071,1.506600205,1.70E-08
1.091,1.506343599,1.70E-08
1.111,1.506090575,1.80E-08
1.131,1.505840677,1.80E-08
1.152,1.505581193,1.80E-08
1.172,1.505336438,1.90E-08
1.192,1.505093643,1.90E-08
1.212,1.504852487,3.50E-08
1.233,1.504600713,6.20E-08
1.253,1.504362019,8.90E-08
1.273,1.504124131,1.15E-07
1.293,1.50388682,1.41E-07
1.314,1.503638027,1.69E-07
1.334,1.503401239,1.95E-07
1.354,1.503164418,2.22E-07
1.374,1.502927391,2.48E-07
1.394,1.502689997,2.74E-07
1.415,1.502440175,2.73E-07
1.435,1.50220157,2.62E-07
1.455,1.501962171,2.50E-07
1.475,1.501721853,2.39E-07
1.496,1.501468405,2.27E-07
1.516,1.50122585,2.15E-07
1.536,1.500982046,2.04E-07
1.556,1.500736894,1.92E-07
1.576,1.500490304,1.81E-07
1.597,1.500229742,1.69E-07
1.617,1.499979938,2.06E-07
1.637,1.499728446,2.53E-07
1.657,1.499475192,2.99E-07
1.678,1.499207302,3.48E-07
1.698,1.49895022,3.94E-07
1.718,1.498691171,4.40E-07
1.738,1.498430095,4.86E-07
1.759,1.498153719,5.35E-07
1.779,1.497888305,5.81E-07
1.799,1.497620694,6.28E-07
1.819,1.497350831,7.23E-07
1.839,1.497078668,8.21E-07
1.86,1.496790369,9.24E-07
1.88,1.496513342,1.02E-06
1.9,1.496233873,1.12E-06
1.92,1.495951918,1.22E-06
1.941,1.495653144,1.32E-06
1.961,1.495365963,1.42E-06
1.981,1.495076171,1.52E-06
2.001,1.49478373,1.62E-06
2.022,1.494473773,1.92E-06
2.042,1.494175782,2.19E-06
2.062,1.493875029,2.47E-06
2.082,1.493571479,2.75E-06
2.102,1.493265095,3.03E-06
2.123,1.492940307,3.32E-06
2.143,1.492628011,3.60E-06
2.163,1.49231278,3.88E-06
2.183,1.491994582,4.15E-06
2.204,1.491657246,4.43E-06
2.224,1.491332866,4.65E-06
2.244,1.491005422,4.87E-06
2.264,1.490674884,5.09E-06
2.285,1.490324455,5.32E-06
2.305,1.489987478,5.54E-06
2.325,1.489647314,5.75E-06
