"Wavelength, ¦Ìm",n,k
0.2,2.3945,0
0.218,2.263947898,0
0.236,2.174728423,0
0.254,2.111685752,0
0.272,2.065845762,0
0.29,2.031677191,0
0.308,2.005650361,0
0.326,1.98544345,0
0.344,1.969487713,0
0.362,1.956697707,0
0.38,1.946306236,0
0.398,1.93776056,0
0.416,1.930655489,0
0.434,1.924689287,0
0.452,1.91963401,0
0.47,1.915315176,0
0.488,1.91159761,0
0.506,1.90837541,0
0.524,1.905564754,0
0.542,1.903098657,0
0.56,1.900923118,0
0.578,1.898994236,0
0.596,1.89727605,0
0.614,1.895738888,0
0.632,1.894358103,0
0.65,1.893113091,0
0.668,1.891986526,0
0.686,1.890963756,0
0.704,1.890032325,0
0.722,1.889181592,0
0.74,1.888402424,0
0.758,1.887686944,0
0.776,1.887028333,0
0.794,1.886420665,0
0.812,1.885858766,0
0.83,1.885338107,0
0.848,1.884854707,0
0.866,1.884405057,0
0.884,1.883986052,0
0.902,1.88359494,0
0.92,1.883229271,0
0.938,1.882886861,0
0.956,1.882565757,0
0.974,1.882264207,0
0.992,1.881980636,0
1.01,1.881713628,0
1.028,1.881461902,0
1.046,1.881224302,0
1.064,1.880999777,0
1.082,1.880787376,0
1.1,1.88058623,0
1.118,1.880395551,0
1.136,1.880214615,0
1.154,1.880042763,0
1.172,1.879879391,0
1.19,1.879723943,0
1.208,1.87957591,0
1.226,1.879434823,0
1.244,1.879300248,0
1.262,1.879171789,0
1.28,1.879049075,0
1.298,1.878931765,0
1.316,1.878819544,0
1.334,1.878712119,0
1.352,1.878609218,0
1.37,1.878510587,0
1.388,1.878415991,0
1.406,1.878325212,0
1.424,1.878238044,0
1.442,1.878154297,0
1.46,1.878073792,0
1.478,1.877996364,0
1.496,1.877921855,0
1.514,1.877850119,0
1.532,1.87778102,0
1.55,1.877714429,0
1.568,1.877650224,0
1.586,1.877588292,0
1.604,1.877528527,0
1.622,1.877470827,0
1.64,1.877415097,0
1.658,1.877361249,0
1.676,1.877309198,0
1.694,1.877258864,0
1.712,1.877210171,0
1.73,1.87716305,0
1.748,1.877117432,0
1.766,1.877073253,0
1.784,1.877030454,0
1.802,1.876988977,0
1.82,1.876948768,0
1.838,1.876909775,0
1.856,1.87687195,0
1.874,1.876835245,0
1.892,1.876799618,0
1.91,1.876765025,0
1.928,1.876731427,0
1.946,1.876698786,0
1.964,1.876667065,0
1.982,1.876636231,0
2,1.87660625,0
