"Wavelength,¦Ìm",n,k
0.35,1.625303884,0
0.3535,1.624631506,0
0.357,1.62398025,0
0.3605,1.623349229,0
0.364,1.622737599,0
0.3675,1.622144561,0
0.371,1.621569359,0
0.3745,1.621011273,0
0.378,1.620469621,0
0.3815,1.619943755,0
0.385,1.619433058,0
0.3885,1.618936946,0
0.392,1.61845486,0
0.3955,1.61798627,0
0.399,1.617530669,0
0.4025,1.617087576,0
0.406,1.616656531,0
0.4095,1.616237097,0
0.413,1.615828854,0
0.4165,1.615431404,0
0.42,1.615044364,0
0.4235,1.614667369,0
0.427,1.614300073,0
0.4305,1.61394214,0
0.434,1.613593251,0
0.4375,1.613253102,0
0.441,1.612921398,0
0.4445,1.612597862,0
0.448,1.612282222,0
0.4515,1.611974222,0
0.455,1.611673615,0
0.4585,1.611380164,0
0.462,1.611093641,0
0.4655,1.610813827,0
0.469,1.610540513,0
0.4725,1.610273497,0
0.476,1.610012585,0
0.4795,1.609757591,0
0.483,1.609508336,0
0.4865,1.609264646,0
0.49,1.609026357,0
0.4935,1.608793309,0
0.497,1.608565346,0
0.5005,1.608342322,0
0.504,1.608124094,0
0.5075,1.607910523,0
0.511,1.607701478,0
0.5145,1.60749683,0
0.518,1.607296456,0
0.5215,1.607100236,0
0.525,1.606908056,0
0.5285,1.606719805,0
0.532,1.606535375,0
0.5355,1.606354663,0
0.539,1.606177569,0
0.5425,1.606003997,0
0.546,1.605833853,0
0.5495,1.605667046,0
0.553,1.60550349,0
0.5565,1.6053431,0
0.56,1.605185793,0
0.5635,1.605031492,0
0.567,1.604880119,0
0.5705,1.6047316,0
0.574,1.604585864,0
0.5775,1.604442842,0
0.581,1.604302464,0
0.5845,1.604164667,0
0.588,1.604029388,0
0.5915,1.603896564,0
0.595,1.603766136,0
0.5985,1.603638047,0
0.602,1.603512242,0
0.6055,1.603388664,0
0.609,1.603267263,0
0.6125,1.603147987,0
0.616,1.603030785,0
0.6195,1.602915611,0
0.623,1.602802418,0
0.6265,1.602691159,0
0.63,1.602581792,0
0.6335,1.602474272,0
0.637,1.602368559,0
0.6405,1.602264612,0
0.644,1.602162392,0
0.6475,1.60206186,0
0.651,1.60196298,0
0.6545,1.601865714,0
0.658,1.601770029,0
0.6615,1.601675889,0
0.665,1.601583262,0
0.6685,1.601492115,0
0.672,1.601402417,0
0.6755,1.601314137,0
0.679,1.601227244,0
0.6825,1.601141711,0
0.686,1.601057508,0
0.6895,1.600974608,0
0.693,1.600892985,0
0.6965,1.600812612,0
0.7,1.600733463,0
