"Wavelength, ¦Ìm",n,k
0.14,1.503424323,0
0.1457,1.488621108,0
0.1516,1.476034818,0
0.1578,1.465080743,0
0.1642,1.45564781,0
0.1708,1.447468468,0
0.1778,1.440139787,0
0.185,1.433744466,0
0.1925,1.428063061,0
0.2003,1.423004933,0
0.2085,1.418440598,0
0.2169,1.414413319,0
0.2257,1.410766916,0
0.2349,1.407466817,0
0.2444,1.404509593,0
0.2544,1.401803401,0
0.2647,1.399375892,0
0.2755,1.397154933,0
0.2866,1.39515947,0
0.2983,1.393318156,0
0.3104,1.391649614,0
0.323,1.390124717,0
0.3361,1.388731627,0
0.3498,1.387450339,0
0.364,1.38628116,0
0.3788,1.385207037,0
0.3941,1.384226935,0
0.4101,1.383321236,0
0.4268,1.382485417,0
0.4441,1.381718955,0
0.4622,1.381008314,0
0.4809,1.380356819,0
0.5005,1.379750096,0
0.5208,1.37919106,0
0.542,1.378670837,0
0.564,1.378189001,0
0.5869,1.377740453,0
0.6107,1.377322652,0
0.6355,1.376931573,0
0.6613,1.376565183,0
0.6882,1.376220199,0
0.7161,1.375896015,0
0.7452,1.375588562,0
0.7755,1.375296374,0
0.807,1.37501793,0
0.8397,1.374751694,0
0.8739,1.374493955,0
0.9093,1.374245674,0
0.9463,1.374002774,0
0.9847,1.3737654,0
1.025,1.37352939,0
1.066,1.373300378,0
1.11,1.373064485,0
1.155,1.372831471,0
1.202,1.372594836,0
1.25,1.372358351,0
1.301,1.372111008,0
1.354,1.371856559,0
1.409,1.371593736,0
1.466,1.371321247,0
1.526,1.371032952,0
1.588,1.370732229,0
1.652,1.370417672,0
1.719,1.370082822,0
1.789,1.36972593,0
1.862,1.369345142,0
1.937,1.368943928,0
2.016,1.368509558,0
2.098,1.368045175,0
2.183,1.367548555,0
2.272,1.367011247,0
2.364,1.366436558,0
2.46,1.365815369,0
2.56,1.365144322,0
2.664,1.364419875,0
2.772,1.363638301,0
2.885,1.362788012,0
3.002,1.361871939,0
3.124,1.360877397,0
3.251,1.359798751,0
3.383,1.358630032,0
3.52,1.357364912,0
3.663,1.355986841,0
3.812,1.354487407,0
3.967,1.352857621,0
4.128,1.351087884,0
4.295,1.349167935,0
4.47,1.347062183,0
4.651,1.344781162,0
4.84,1.342285045,0
5.037,1.339556135,0
5.242,1.336575206,0
5.454,1.333336997,0
5.676,1.329771733,0
5.906,1.325884127,0
6.146,1.321610156,0
6.396,1.316913605,0
6.656,1.311754256,0
6.926,1.306087295,0
7.207,1.299839725,0
7.5,1.292926724,0
