wl,n,k
0.193,0.8395,1.6247
0.194,0.8469,1.6367
0.195,0.8543,1.6485
0.196,0.8618,1.6601
0.197,0.8694,1.6714
0.198,0.8771,1.6825
0.199,0.8848,1.6934
0.2,0.8926,1.7041
0.201,0.9004,1.7146
0.202,0.9082,1.7249
0.203,0.9161,1.735
0.204,0.924,1.7449
0.205,0.9319,1.7545
0.206,0.9399,1.764
0.207,0.9478,1.7732
0.208,0.9558,1.7823
0.209,0.9638,1.7911
0.21,0.9718,1.7998
0.211,0.9797,1.8082
0.212,0.9877,1.8165
0.213,0.9956,1.8246
0.214,1.0035,1.8324
0.215,1.0114,1.8401
0.216,1.0193,1.8476
0.217,1.0271,1.855
0.218,1.0349,1.8621
0.219,1.0426,1.8691
0.22,1.0503,1.8759
0.221,1.0579,1.8825
0.222,1.0654,1.889
0.223,1.0729,1.8953
0.224,1.0803,1.9014
0.225,1.0876,1.9074
0.226,1.0949,1.9133
0.227,1.1021,1.919
0.228,1.1092,1.9245
0.229,1.1162,1.93
0.23,1.1231,1.9352
0.231,1.1299,1.9404
0.232,1.1366,1.9455
0.233,1.1432,1.9504
0.234,1.1497,1.9552
0.235,1.1561,1.9599
0.236,1.1624,1.9645
0.237,1.1685,1.9691
0.238,1.1746,1.9735
0.239,1.1806,1.9778
0.24,1.1864,1.9821
0.241,1.1921,1.9863
0.242,1.1977,1.9904
0.243,1.2032,1.9944
0.244,1.2086,1.9984
0.245,1.2139,2.0024
0.246,1.219,2.0063
0.247,1.224,2.0101
0.248,1.229,2.0139
0.249,1.2338,2.0176
0.25,1.2384,2.0214
0.251,1.243,2.0251
0.252,1.2475,2.0288
0.253,1.2518,2.0324
0.254,1.2561,2.0361
0.255,1.2602,2.0397
0.256,1.2642,2.0433
0.257,1.2682,2.047
0.258,1.272,2.0506
0.259,1.2757,2.0542
0.26,1.2794,2.0579
0.261,1.2829,2.0615
0.262,1.2864,2.0652
0.263,1.2897,2.0688
0.264,1.293,2.0725
0.265,1.2962,2.0762
0.266,1.2993,2.08
0.267,1.3023,2.0837
0.268,1.3053,2.0875
0.269,1.3081,2.0913
0.27,1.3109,2.0952
0.271,1.3137,2.0991
0.272,1.3163,2.103
0.273,1.3189,2.1069
0.274,1.3215,2.1109
0.275,1.324,2.1149
0.276,1.3264,2.119
0.277,1.3288,2.1231
0.278,1.3311,2.1272
0.279,1.3333,2.1314
0.28,1.3356,2.1356
0.281,1.3378,2.1399
0.282,1.3399,2.1442
0.283,1.342,2.1486
0.284,1.3441,2.153
0.285,1.3461,2.1574
0.286,1.3481,2.1619
0.287,1.3501,2.1664
0.288,1.352,2.171
0.289,1.3539,2.1756
0.29,1.3558,2.1802
0.291,1.3577,2.1849
0.292,1.3595,2.1897
0.293,1.3614,2.1945
0.294,1.3632,2.1993
0.295,1.365,2.2041
0.296,1.3668,2.209
0.297,1.3686,2.214
0.298,1.3703,2.219
0.299,1.3721,2.224
0.3,1.3738,2.229
0.301,1.3756,2.2341
0.302,1.3773,2.2393
0.303,1.379,2.2444
0.304,1.3808,2.2496
0.305,1.3825,2.2549
0.306,1.3842,2.2602
0.307,1.386,2.2655
0.308,1.3877,2.2708
0.309,1.3895,2.2762
0.31,1.3912,2.2816
0.311,1.3929,2.287
0.312,1.3947,2.2925
0.313,1.3965,2.298
0.314,1.3982,2.3035
0.315,1.4,2.309
0.316,1.4018,2.3146
0.317,1.4036,2.3202
0.318,1.4054,2.3258
0.319,1.4072,2.3315
0.32,1.409,2.3371
0.321,1.4109,2.3428
0.322,1.4127,2.3486
0.323,1.4146,2.3543
0.324,1.4164,2.36
0.325,1.4183,2.3658
0.326,1.4202,2.3716
0.327,1.4221,2.3774
0.328,1.4241,2.3832
0.329,1.426,2.3891
0.33,1.428,2.3949
0.331,1.43,2.4008
0.332,1.4319,2.4067
0.333,1.434,2.4126
0.334,1.436,2.4185
0.335,1.438,2.4245
0.336,1.4401,2.4304
0.337,1.4421,2.4364
0.338,1.4442,2.4423
0.339,1.4463,2.4483
0.34,1.4484,2.4543
0.341,1.4506,2.4603
0.342,1.4527,2.4663
0.343,1.4549,2.4723
0.344,1.4571,2.4783
0.345,1.4593,2.4843
0.346,1.4615,2.4903
0.347,1.4637,2.4964
0.348,1.466,2.5024
0.349,1.4682,2.5085
0.35,1.4705,2.5145
0.351,1.4728,2.5206
0.352,1.4751,2.5266
0.353,1.4775,2.5327
0.354,1.4798,2.5387
0.355,1.4822,2.5448
0.356,1.4846,2.5509
0.357,1.487,2.5569
0.358,1.4894,2.563
0.359,1.4918,2.5691
0.36,1.4942,2.5752
0.361,1.4967,2.5812
0.362,1.4992,2.5873
0.363,1.5017,2.5934
0.364,1.5042,2.5994
0.365,1.5067,2.6055
0.366,1.5092,2.6116
0.367,1.5118,2.6176
0.368,1.5143,2.6237
0.369,1.5169,2.6297
0.37,1.5195,2.6358
0.371,1.5221,2.6418
0.372,1.5248,2.6479
0.373,1.5274,2.6539
0.374,1.53,2.66
0.375,1.5327,2.666
0.376,1.5354,2.6721
0.377,1.5381,2.6781
0.378,1.5408,2.6841
0.379,1.5435,2.6901
0.38,1.5462,2.6961
0.381,1.549,2.7022
0.382,1.5517,2.7082
0.383,1.5545,2.7142
0.384,1.5573,2.7201
0.385,1.5601,2.7261
0.386,1.5629,2.7321
0.387,1.5657,2.7381
0.388,1.5685,2.7441
0.389,1.5714,2.75
0.39,1.5742,2.756
0.391,1.5771,2.7619
0.392,1.58,2.7679
0.393,1.5829,2.7738
0.394,1.5858,2.7797
0.395,1.5887,2.7856
0.396,1.5916,2.7915
0.397,1.5945,2.7974
0.398,1.5975,2.8033
0.399,1.6004,2.8092
0.4,1.6034,2.8151
0.401,1.6063,2.821
0.402,1.6093,2.8268
0.403,1.6123,2.8327
0.404,1.6153,2.8385
0.405,1.6183,2.8444
0.406,1.6213,2.8502
0.407,1.6244,2.856
0.408,1.6274,2.8618
