"Wavelength, µm",n,k
0.35,1.458537709,0
0.3535,1.457618655,0
0.357,1.456730119,0
0.3605,1.455870728,0
0.364,1.455039187,0
0.3675,1.454234276,0
0.371,1.45345484,0
0.3745,1.452699788,0
0.378,1.451968089,0
0.3815,1.451258766,0
0.385,1.450570895,0
0.3885,1.449903598,0
0.392,1.449256044,0
0.3955,1.448627445,0
0.399,1.448017052,0
0.4025,1.447424152,0
0.406,1.446848069,0
0.4095,1.44628816,0
0.413,1.445743812,0
0.4165,1.445214442,0
0.42,1.444699494,0
0.4235,1.444198439,0
0.427,1.443710771,0
0.4305,1.443236009,0
0.434,1.442773693,0
0.4375,1.442323382,0
0.441,1.441884658,0
0.4445,1.441457119,0
0.448,1.441040381,0
0.4515,1.440634077,0
0.455,1.440237855,0
0.4585,1.439851379,0
0.462,1.439474326,0
0.4655,1.439106388,0
0.469,1.438747268,0
0.4725,1.438396682,0
0.476,1.438054357,0
0.4795,1.437720032,0
0.483,1.437393456,0
0.4865,1.437074386,0
0.49,1.436762592,0
0.4935,1.436457851,0
0.497,1.436159948,0
0.5005,1.435868677,0
0.504,1.435583841,0
0.5075,1.435305247,0
0.511,1.435032713,0
0.5145,1.434766062,0
0.518,1.434505123,0
0.5215,1.434249732,0
0.525,1.433999731,0
0.5285,1.433754966,0
0.532,1.433515292,0
0.5355,1.433280566,0
0.539,1.433050651,0
0.5425,1.432825415,0
0.546,1.43260473,0
0.5495,1.432388473,0
0.553,1.432176525,0
0.5565,1.43196877,0
0.56,1.431765098,0
0.5635,1.431565401,0
0.567,1.431369575,0
0.5705,1.431177519,0
0.574,1.430989136,0
0.5775,1.430804333,0
0.581,1.430623018,0
0.5845,1.430445102,0
0.588,1.430270501,0
0.5915,1.430099132,0
0.595,1.429930915,0
0.5985,1.429765771,0
0.602,1.429603626,0
0.6055,1.429444408,0
0.609,1.429288044,0
0.6125,1.429134467,0
0.616,1.428983611,0
0.6195,1.42883541,0
0.623,1.428689802,0
0.6265,1.428546727,0
0.63,1.428406126,0
0.6335,1.42826794,0
0.637,1.428132116,0
0.6405,1.427998598,0
0.644,1.427867335,0
0.6475,1.427738275,0
0.651,1.427611369,0
0.6545,1.427486569,0
0.658,1.427363828,0
0.6615,1.427243101,0
0.665,1.427124343,0
0.6685,1.427007512,0
0.672,1.426892566,0
0.6755,1.426779464,0
0.679,1.426668166,0
0.6825,1.426558634,0
0.686,1.426450831,0
0.6895,1.426344721,0
0.693,1.426240267,0
0.6965,1.426137434,0
0.7,1.426036191,0
