"Wavelength, ?m"	n	k
0.1879	1.07	1.00E+12
0.1916	1.1	1.00E+12
0.1953	1.12	1.00E+12
0.1993	1.14	1.00E+12
0.2033	1.15	1.00E+12
0.2073	1.18	1.00E+12
0.2119	1.2	1.00E+12
0.2164	1.22	1.00E+12
0.2214	1.25	1.00E+12
0.2262	1.26	1.00E+12
0.2313	1.28	1.00E+12
0.2371	1.28	1.00E+12
0.2426	1.3	1.00E+12
0.249	1.31	1.00E+12
0.2551	1.33	1.00E+12
0.2616	1.35	1.00E+12
0.2689	1.38	1.00E+12
0.2761	1.41	1.00E+12
0.2844	1.41	1.00E+12
0.2924	1.39	1.00E+12
0.3009	1.34	1.00E+12
0.3107	1.13	1.00E+12
0.3204	0.81	1.00E+12
0.3315	0.17	1.00E+12
0.3425	0.14	1.00E+12
0.3542	0.1	1.00E+12
0.3679	0.07	1.00E+12
0.3815	0.05	1.00E+12
0.3974	0.05	1.00E+12
0.4133	0.05	1.00E+12
0.4305	0.04	1.00E+12
0.4509	0.04	1.00E+12
0.4714	0.05	1.00E+12
0.4959	0.05	1.00E+12
0.5209	0.05	1.00E+12
0.5486	0.06	1.00E+12
0.5821	0.05	1.00E+12
0.6168	0.06	1.00E+12
0.6595	0.05	1.00E+12
0.7045	0.04	1.00E+12
0.756	0.03	1.00E+12
0.8211	0.04	1.00E+12
0.892	0.04	1.00E+12
0.984	0.04	1.00E+12
1.088	0.04	1.00E+12
1.216	0.09	1.00E+12
1.393	0.13	1.00E+12
1.61	0.15	1.00E+12
1.937	0.24	1.00E+12
