"Wavelength, µm",n,k
0.4368,1.502130858,0
0.443,1.501399279,0
0.4491,1.500710884,0
0.4553,1.500041244,0
0.4614,1.499410273,0
0.4676,1.49879568,0
0.4737,1.498215835,0
0.4799,1.497650342,0
0.486,1.497116178,0
0.4922,1.496594626,0
0.4983,1.496101411,0
0.5045,1.495619311,0
0.5106,1.495162916,0
0.5168,1.494716343,0
0.5229,1.494293153,0
0.5291,1.493878664,0
0.5352,1.493485501,0
0.5414,1.493100063,0
0.5475,1.492734124,0
0.5537,1.492375057,0
0.5598,1.492033863,0
0.566,1.491698793,0
0.5721,1.49138014,0
0.5783,1.491066957,0
0.5844,1.490768885,0
0.5906,1.490475707,0
0.5968,1.490191963,0
0.6029,1.489921611,0
0.6091,1.489655409,0
0.6152,1.489401595,0
0.6214,1.489151507,0
0.6275,1.488912898,0
0.6337,1.48867764,0
0.6398,1.488453037,0
0.646,1.488231449,0
0.6521,1.488019769,0
0.6583,1.487810807,0
0.6644,1.48761107,0
0.6706,1.487413785,0
0.6767,1.487225104,0
0.6829,1.487038636,0
0.689,1.486860204,0
0.6952,1.486683772,0
0.7013,1.486514856,0
0.7075,1.486347747,0
0.7136,1.486187678,0
0.7198,1.486029243,0
0.7259,1.48587741,0
0.7321,1.485727057,0
0.7382,1.4855829,0
0.7444,1.485440085,0
0.7506,1.485300877,0
0.7567,1.485167317,0
0.7629,1.485034913,0
0.769,1.484907827,0
0.7752,1.484781788,0
0.7813,1.484660763,0
0.7875,1.484540685,0
0.7936,1.484425338,0
0.7998,1.484310851,0
0.8059,1.484200831,0
0.8121,1.48409159,0
0.8182,1.483986573,0
0.8244,1.483882261,0
0.8305,1.483781947,0
0.8367,1.483682271,0
0.8428,1.483586381,0
0.849,1.483491069,0
0.8551,1.483399347,0
0.8613,1.483308146,0
0.8674,1.483220352,0
0.8736,1.483133029,0
0.8797,1.483048941,0
0.8859,1.482965278,0
0.892,1.48288469,0
0.8982,1.482804485,0
0.9044,1.48272595,0
0.9105,1.482650267,0
0.9167,1.482574911,0
0.9228,1.482502271,0
0.929,1.482429924,0
0.9351,1.482360165,0
0.9413,1.482290668,0
0.9474,1.482223638,0
0.9536,1.482156843,0
0.9597,1.482092403,0
0.9659,1.482028171,0
0.972,1.481966188,0
0.9782,1.481904389,0
0.9843,1.481844739,0
0.9905,1.481785252,0
0.9966,1.481727818,0
1.003,1.481668698,0
1.009,1.481614305,0
1.015,1.481560886,0
1.021,1.481508418,0
1.027,1.481456878,0
1.034,1.481397892,0
1.04,1.48134829,0
1.046,1.481299549,0
1.052,1.48125165,0
