wl,n,k
0.25,1.5,0
0.255,1.5,0
0.26,1.5,0
0.265,1.5,0
0.27,1.5,0
0.275,1.5,0
0.28,1.5,0
0.285,1.5,0
0.29,1.5,0
0.295,1.5,0
0.3,1.5,0
0.305,1.5,0
0.31,1.5,0
0.315,1.5,0
0.32,1.5,0
0.325,1.5,0
0.33,1.5,0
0.335,1.5,0
0.34,1.5,0
0.345,1.5,0
0.35,1.5,0
0.355,1.5,0
0.36,1.5,0
0.365,1.5,0
0.37,1.5,0
0.375,1.5,0
0.38,1.5,0
0.385,1.5,0
0.39,1.5,0
0.395,1.5,0
0.4,1.5,0
0.405,1.5,0
0.41,1.5,0
0.415,1.5,0
0.42,1.5,0
0.425,1.5,0
0.43,1.5,0
0.435,1.5,0
0.44,1.5,0
0.445,1.5,0
0.45,1.5,0
0.455,1.5,0
0.46,1.5,0
0.465,1.5,0
0.47,1.5,0
0.475,1.5,0
0.48,1.5,0
0.485,1.5,0
0.49,1.5,0
0.495,1.5,0
0.5,1.5,0
0.505,1.5,0
0.51,1.5,0
0.515,1.5,0
0.52,1.5,0
0.525,1.5,0
0.53,1.5,0
0.535,1.5,0
0.54,1.5,0
0.545,1.5,0
0.55,1.5,0
0.555,1.5,0
0.56,1.5,0
0.565,1.5,0
0.57,1.5,0
0.575,1.5,0
0.58,1.5,0
0.585,1.5,0
0.59,1.5,0
0.595,1.5,0
0.6,1.5,0
0.605,1.5,0
0.61,1.5,0
0.615,1.5,0
0.62,1.5,0
0.625,1.5,0
0.63,1.5,0
0.635,1.5,0
0.64,1.5,0
0.645,1.5,0
0.65,1.5,0
0.655,1.5,0
0.66,1.5,0
0.665,1.5,0
0.67,1.5,0
0.675,1.5,0
0.68,1.5,0
0.685,1.5,0
0.69,1.5,0
0.695,1.5,0
0.7,1.5,0
0.705,1.5,0
0.71,1.5,0
0.715,1.5,0
0.72,1.5,0
0.725,1.5,0
0.73,1.5,0
0.735,1.5,0
0.74,1.5,0
0.745,1.5,0
0.75,1.5,0
0.755,1.5,0
0.76,1.5,0
0.765,1.5,0
0.77,1.5,0
0.775,1.5,0
0.78,1.5,0
0.785,1.5,0
0.79,1.5,0
0.795,1.5,0
0.8,1.5,0
0.805,1.5,0
0.81,1.5,0
0.815,1.5,0
0.82,1.5,0
0.825,1.5,0
0.83,1.5,0
0.835,1.5,0
0.84,1.5,0
0.845,1.5,0
0.85,1.5,0
0.855,1.5,0
0.86,1.5,0
0.865,1.5,0
0.87,1.5,0
0.875,1.5,0
0.88,1.5,0
0.885,1.5,0
0.89,1.5,0
0.895,1.5,0
0.9,1.5,0
0.905,1.5,0
0.91,1.5,0
0.915,1.5,0
0.92,1.5,0
0.925,1.5,0
0.93,1.5,0
0.935,1.5,0
0.94,1.5,0
0.945,1.5,0
0.95,1.5,0
0.955,1.5,0
0.96,1.5,0
0.965,1.5,0
0.97,1.5,0
0.975,1.5,0
0.98,1.5,0
0.985,1.5,0
0.99,1.5,0
0.995,1.5,0
1,1.5,0
1.005,1.5,0
1.01,1.5,0
1.015,1.5,0
1.02,1.5,0
1.025,1.5,0
1.03,1.5,0
1.035,1.5,0
1.04,1.5,0
1.045,1.5,0
1.05,1.5,0
1.055,1.5,0
1.06,1.5,0
1.065,1.5,0
1.07,1.5,0
1.075,1.5,0
1.08,1.5,0
1.085,1.5,0
1.09,1.5,0
1.095,1.5,0
1.1,1.5,0
1.105,1.5,0
1.11,1.5,0
1.115,1.5,0
1.12,1.5,0
1.125,1.5,0
1.13,1.5,0
1.135,1.5,0
1.14,1.5,0
1.145,1.5,0
1.15,1.5,0
1.155,1.5,0
1.16,1.5,0
1.165,1.5,0
1.17,1.5,0
1.175,1.5,0
1.18,1.5,0
1.185,1.5,0
1.19,1.5,0
1.195,1.5,0
1.2,1.5,0
1.205,1.5,0
1.21,1.5,0
1.215,1.5,0
1.22,1.5,0
1.225,1.5,0
1.23,1.5,0
1.235,1.5,0
1.24,1.5,0
1.245,1.5,0
1.25,1.5,0
1.255,1.5,0
1.26,1.5,0
1.265,1.5,0
1.27,1.5,0
1.275,1.5,0
1.28,1.5,0
1.285,1.5,0
1.29,1.5,0
1.295,1.5,0
1.3,1.5,0
1.305,1.5,0
1.31,1.5,0
1.315,1.5,0
1.32,1.5,0
1.325,1.5,0
1.33,1.5,0
1.335,1.5,0
1.34,1.5,0
1.345,1.5,0
1.35,1.5,0
1.355,1.5,0
1.36,1.5,0
1.365,1.5,0
1.37,1.5,0
1.375,1.5,0
1.38,1.5,0
1.385,1.5,0
1.39,1.5,0
1.395,1.5,0
1.4,1.5,0
1.405,1.5,0
1.41,1.5,0
1.415,1.5,0
1.42,1.5,0
1.425,1.5,0
1.43,1.5,0
1.435,1.5,0
1.44,1.5,0
1.445,1.5,0
1.45,1.5,0
1.455,1.5,0
1.46,1.5,0
1.465,1.5,0
1.47,1.5,0
1.475,1.5,0
1.48,1.5,0
1.485,1.5,0
1.49,1.5,0
1.495,1.5,0
1.5,1.5,0
1.505,1.5,0
1.51,1.5,0
1.515,1.5,0
1.52,1.5,0
1.525,1.5,0
1.53,1.5,0
1.535,1.5,0
1.54,1.5,0
1.545,1.5,0
1.55,1.5,0
1.555,1.5,0
1.56,1.5,0
1.565,1.5,0
1.57,1.5,0
1.575,1.5,0
1.58,1.5,0
1.585,1.5,0
1.59,1.5,0
1.595,1.5,0
1.6,1.5,0
1.605,1.5,0
1.61,1.5,0
1.615,1.5,0
1.62,1.5,0
1.625,1.5,0
