wl,n,k
0.207,2.512469861,0
0.2173,2.435379985,0
0.2277,2.37477217,0
0.238,2.326814744,0
0.2483,2.287661985,0
0.2587,2.254871947,0
0.269,2.227557935,0
0.2793,2.204291677,0
0.2896,2.184271873,0
0.3,2.166735893,0
0.3103,2.151552173,0
0.3206,2.138177122,0
0.331,2.126214558,0
0.3413,2.115661961,0
0.3516,2.106210332,0
0.362,2.097628044,0
0.3723,2.089952469,0
0.3826,2.082991215,0
0.3929,2.076655666,0
0.4033,2.070817194,0
0.4136,2.065523824,0
0.4239,2.060662344,0
0.4343,2.056144126,0
0.4446,2.052015179,0
0.4549,2.048195052,0
0.4653,2.0446199,0
0.4756,2.04133135,0
0.4859,2.038270067,0
0.4962,2.035415172,0
0.5066,2.03272314,0
0.5169,2.030229185,0
0.5272,2.027891907,0
0.5376,2.025677597,0
0.5479,2.023617028,0
0.5582,2.021677713,0
0.5686,2.019832954,0
0.5789,2.018109605,0
0.5892,2.016481667,0
0.5995,2.014942129,0
0.6099,2.013470851,0
0.6202,2.01209028,0
0.6305,2.010780596,0
0.6409,2.009525203,0
0.6512,2.008343789,0
0.6615,2.007219919,0
0.6719,2.006139738,0
0.6822,2.005120573,0
0.6925,2.004148633,0
0.7028,2.003221017,0
0.7132,2.002326636,0
0.7235,2.001480192,0
0.7338,2.000670592,0
0.7442,1.99988835,0
0.7545,1.999146519,0
0.7648,1.998435578,0
0.7752,1.99774734,0
0.7855,1.99709344,0
0.7958,1.996465639,0
0.8061,1.995862557,0
0.8165,1.995277386,0
0.8268,1.994720163,0
0.8371,1.99418402,0
0.8475,1.993662984,0
0.8578,1.993166076,0
0.8681,1.992687259,0
0.8785,1.992221261,0
0.8888,1.991776216,0
0.8991,1.991346787,0
0.9094,1.99093225,0
0.9198,1.990528099,0
0.9301,1.990141457,0
0.9404,1.98976776,0
0.9508,1.989402984,0
0.9611,1.989053597,0
0.9714,1.98871552,0
0.9818,1.988385141,0
0.9921,1.98806835,0
1.002,1.987773221,0
1.013,1.987455608,0
1.023,1.987175898,0
1.033,1.986904436,0
1.044,1.98661497,0
1.054,1.986359797,0
1.064,1.986111922,0
1.075,1.985847358,0
1.085,1.985613922,0
1.095,1.985386967,0
1.106,1.985144518,0
1.116,1.984930409,0
1.126,1.984722076,0
1.137,1.984499334,0
1.147,1.984302468,0
1.157,1.984110767,0
1.168,1.983905646,0
1.178,1.983724214,0
1.188,1.983547414,0
1.199,1.983358097,0
1.209,1.983190521,0
1.219,1.983027112,0
1.23,1.982852011,0
1.24,1.982696911,0
