"Wavelength, µm",n,k
0.488,2.691862316,0
0.4938,2.688413666,0
0.4995,2.685155681,0
0.5053,2.681967043,0
0.511,2.678951315,0
0.5168,2.675996567,0
0.5226,2.673150927,0
0.5283,2.670455386,0
0.5341,2.66781034,0
0.5398,2.66530239,0
0.5456,2.662839108,0
0.5514,2.660461067,0
0.5571,2.658203224,0
0.5629,2.65598267,0
0.5686,2.653872578,0
0.5744,2.651795632,0
0.5802,2.649786339,0
0.5859,2.647874732,0
0.5917,2.645990973,0
0.5974,2.644197466,0
0.6032,2.64242881,0
0.609,2.640714594,0
0.6147,2.639080794,0
0.6205,2.637467978,0
0.6262,2.635929809,0
0.632,2.634410418,0
0.6378,2.632935372,0
0.6435,2.631527279,0
0.6493,2.630135104,0
0.655,2.628805337,0
0.6608,2.627489845,0
0.6666,2.626210865,0
0.6723,2.624988194,0
0.6781,2.623777652,0
0.6838,2.622619791,0
0.6896,2.621472822,0
0.6954,2.620356207,0
0.7011,2.619287376,0
0.7069,2.618227812,0
0.7126,2.617213102,0
0.7184,2.616206716,0
0.7242,2.615225786,0
0.7299,2.614285735,0
0.7357,2.613352765,0
0.7414,2.612458285,0
0.7472,2.611570161,0
0.753,2.610703554,0
0.7587,2.609872177,0
0.7645,2.609046198,0
0.7702,2.60825348,0
0.776,2.607465601,0
0.7818,2.60669604,0
0.7875,2.605957043,0
0.7933,2.60522214,0
0.799,2.604516165,0
0.8048,2.603813848,0
0.8106,2.60312723,0
0.8163,2.602467289,0
0.8221,2.601810425,0
0.8278,2.60117887,0
0.8336,2.60055005,0
0.8394,2.599934764,0
0.8451,2.599342894,0
0.8509,2.598753304,0
0.8566,2.598185976,0
0.8624,2.597620658,0
0.8682,2.597067073,0
0.8739,2.596534148,0
0.8797,2.596002875,0
0.8854,2.595491281,0
0.8912,2.594981127,0
0.897,2.594481196,0
0.9027,2.593999581,0
0.9085,2.593519121,0
0.9142,2.593056138,0
0.92,2.592594143,0
0.9258,2.5921411,0
0.9315,2.591704365,0
0.9373,2.591268393,0
0.943,2.590848008,0
0.9488,2.590428254,0
0.9546,2.590016372,0
0.9603,2.589619071,0
0.9661,2.589222221,0
0.9718,2.58883933,0
0.9776,2.588456785,0
0.9834,2.588081193,0
0.9891,2.587718686,0
0.9949,2.587356385,0
1.001,2.586982315,0
1.006,2.586680907,0
1.012,2.586325266,0
1.018,2.585976071,0
1.024,2.585633166,0
1.029,2.585352107,0
1.035,2.585020345,0
1.041,2.584694456,0
1.047,2.584374302,0
1.052,2.584111791,0
1.058,2.583801804,0
1.064,2.583497181,0
